email,provider,score,warmup,daily_limit
lillian.crowder@vitoshasaas.com,microsoft,90.5,100,30
margot.ashby@vitoshasaas.com,microsoft,90.5,100,30
matthew.reed@vitoshahcm.com,google,90.5,100,30
megan.fletcher@vitoshaid.com,google,90.5,100,30
megan.palmer@vitoshamatch.com,microsoft,90.5,100,30
melissa.perry@vitoshama.com,microsoft,90.5,100,30
melissa.thornton@vitoshaisv.com,google,90.5,100,30
michelle.drake@vitoshahybrid.com,google,90.5,100,30
michelle.gaines@vitoshamvp.com,microsoft,90.5,100,30
natalie.bishop@vitoshaiiot.com,google,90.5,100,30
nathan.daniels@vitoshamvp.com,microsoft,90.5,100,30
nathan.whitaker@vitoshahorizon.com,google,90.5,100,30
nicholas.barrett@vitoshahcm.com,google,90.5,100,30
nicole.barnes@vitoshama.com,microsoft,90.5,100,30
nora.whitford@vitoshasaas.com,microsoft,90.5,100,30
olivia.grant@vitoshaiiot.com,google,90.5,100,30
patrick.donovan@vitoshahealth.com,google,90.5,100,30
phoebe.donnelly@vitoshasaas.com,microsoft,90.5,100,30
quinn.hadleigh@vitoshasaas.com,microsoft,90.5,100,30
rachel.morgan@vitoshagrowth.com,google,90.5,100,30
rebecca.owens@vitoshamesh.com,microsoft,90.5,100,30
rebecca.winters@vitoshahybrid.com,google,90.5,100,30
ryan.caldwell@vitoshahealth.com,google,90.5,100,30
ryan.kelley@vitoshamatch.com,microsoft,90.5,100,30
samantha.chambers@vitoshamatch.com,microsoft,90.5,100,30
samuel.kingston@vitoshahub.com,google,90.5,100,30
shannon.monroe@vitoshanet.com,microsoft,90.5,100,30
spencer.aldridge@vitoshaprocess.com,microsoft,90.5,100,30
steven.marsh@vitoshahorizon.com,google,90.5,100,30
sullivan.reese@vitoshaprojects.com,microsoft,90.5,100,30
tatum.bradshaw@vitoshaprocure.com,microsoft,90.5,100,30
tiffany.ellison@vitoshamvp.com,microsoft,90.5,100,30
travis.logan@vitoshanet.com,microsoft,90.5,100,30
victoria.hughes@vitoshaid.com,google,90.5,100,30
wallace.doran@vitoshaprocure.com,microsoft,90.5,100,30
wallace.doran@vitosharealtime.com,microsoft,90.5,100,30
xavier.pemberton@vitosharealtime.com,microsoft,90.5,100,30
zachary.holcomb@vitosharealtime.com,microsoft,90.5,100,30
kendall.beaumnt@vitosharpa.com,microsoft,89.8,99,30
tatum.bradshaw@vitosharealtime.com,microsoft,89.8,99,30
allison.cannon@vitoshamicro.com,microsoft,85.7,100,30
amber.underwood@vitoshami.com,microsoft,85.7,100,30
andrew.crawford@vitoshamanaged.com,microsoft,85.7,100,30
brittany.garrett@vitoshamcp.com,microsoft,85.7,100,30
danielle.saunders@vitoshami.com,microsoft,85.7,100,30
david.bennett@vitoshaadvisors.com,google,85.7,100,30
david.carter@vitoshalabs.com,microsoft,85.7,100,30
emily.anderson@vitoshalabs.com,microsoft,85.7,100,30
eric.reeves@vitoshami.com,microsoft,85.7,100,30
heather.jennings@vitoshamcp.com,microsoft,85.7,100,30
james.wilson@vitoshalabs.com,microsoft,85.7,100,29
jennifer.walsh@vitoshaadvisors.com,google,85.7,100,30
joshua.fisher@vitoshamanaged.com,microsoft,85.7,100,30
justin.hudson@vitoshamcp.com,microsoft,85.7,100,30
kevin.lambert@vitoshamcp.com,microsoft,85.7,100,30
lauren.simmons@vitoshamanaged.com,microsoft,85.7,100,30
mark.tucker@vitoshami.com,microsoft,85.7,100,30
matthew.patterson@vitoshamanaged.com,microsoft,85.7,100,30
michael.thompson@vitoshalabs.com,microsoft,85.7,100,30
micheal.carter@vitoshaadvisors.com,google,85.7,100,30
patrick.york@vitoshamicro.com,microsoft,85.7,100,30
sarah.mitchell@vitoshaadvisors.com,google,85.7,100,30
scott.bishop@vitoshamicro.com,microsoft,85.7,100,30
stephanie.foster@vitoshaleap.com,microsoft,85.7,100,30
steven.vaughn@vitoshami.com,microsoft,85.7,100,30
thomas.howard@vitoshaleap.com,microsoft,85.7,100,30
tyler.fletcher@vitoshamcp.com,microsoft,85.7,100,30
amanda.sullivan@vitoshaleap.com,microsoft,85,99,30
cameron.hewitt@vitoshalean.com,microsoft,85,99,30
courtney.warren@vitoshamicro.com,microsoft,85,99,30
devin.cross@vitoshalean.com,microsoft,85,99,30
garrett.pope@vitoshalean.com,microsoft,85,99,30
john.brooks@vitoshaleap.com,microsoft,85,99,30
kelly.abbott@vitoshamicro.com,microsoft,85,99,30
rachel.murphy@vitoshamanaged.com,microsoft,85,99,30
richard.morgan@vitoshaleap.com,microsoft,85,99,30
sarah.mitchell@vitoshalabs.com,microsoft,85,99,30
